TRIOKA INTERACTIVE MAP REPORT

Locations file: D:\Coding Projects\Interactive Map - Trioka 2026\src\data\locations.js
Portrait folder: D:\Coding Projects\Interactive Map - Trioka 2026\public\portraits

============================================================
SUMMARY
============================================================
Total cities: 59
Capital cities: 10
Major cities: 49
Port cities: 23
Capital port cities: 2

============================================================
CITIES STILL USING UNDER CONSTRUCTION
============================================================
- Crownhill (crownhill)
- Rivercross (rivercross)
- Newhaven (newhaven)
- Pleasant Valley (pleasant-valley)
- Desert's Edge (deserts-edge)
- Bayview Landing (bayview-landing)
- Frosthall (frosthall)
- Throgarthrum (throgarthrum)
- Krakensmaw (krakensmaw)
- Bayview Castle (bayviewcastle)
- Constantine (constantine)
- Southport (southport)
- Zugmurah (zugmurah)

============================================================
MISSING PORTRAIT FILES
============================================================
None found.

============================================================
POSSIBLE MISSING isPort: true TAGS
============================================================
- Foreharrow (foreharrow)
- Ganymede (ganymede)
- Bayview Castle (bayviewcastle)
- Zugmurah (zugmurah)

============================================================
DUPLICATE CITY IDS
============================================================
None found.

============================================================
COORDINATES OUTSIDE MAP BOUNDS
============================================================
None found.

============================================================
ALL CITIES
============================================================
- Beacon | Capital City | Not Port | id=beacon | x=821, y=339 | /portraits/BeaconArpadCapital.jpg
- Whitewake | Major City | Port | id=whitewake | x=694, y=40 | /portraits/Whitewake.jpg
- Cape Saffar | Major City | Port | id=cape-saffar | x=1032, y=177 | /portraits/CapeSaffar.jpg
- North Castleport | Major City | Port | id=north-castleport | x=969, y=295 | /portraits/NorthCastleport.jpg
- Foreharrow | Major City | Not Port | id=foreharrow | x=629, y=339 | /portraits/Foreharrow.jpg
- Centerpoint | Major City | Not Port | id=centerpoint | x=705, y=338 | /portraits/Centerpoint.jpg
- Bayview Landing | Major City | Port | id=bayview-landing | x=846, y=639 | /portraits/UnderConstruction.jpg
- Frosthall | Major City | Not Port | id=frosthall | x=826, y=89 | /portraits/UnderConstruction.jpg
- Ganymede | Major City | Not Port | id=ganymede | x=866, y=182 | /portraits/Ganymede.jpg
- Druidian's Rest | Major City | Not Port | id=druidian'srest | x=551, y=704 | /portraits/Druidian'sRest.jpg
- Dragon Isle | Major City | Port | id=dragonisle | x=1015, y=818 | /portraits/DragonIsles.jpg
- Desert's Mouth | Major City | Port | id=desert'smouth | x=1176, y=734 | /portraits/Desert'sMouth.jpg
- Booty Bay | Major City | Port | id=bootybay | x=1413, y=910 | /portraits/BootyBay.jpg
- Throgarthrum | Major City | Not Port | id=throgarthrum | x=1401, y=586 | /portraits/UnderConstruction.jpg
- Ogrilswake | Major City | Port | id=ogrilswake | x=1330, y=649 | /portraits/Ogrilswake.jpg
- Krakensmaw | Major City | Port | id=krakensmaw | x=1418, y=678 | /portraits/UnderConstruction.jpg
- Slumber Hall | Major City | Not Port | id=slumberhall | x=1098, y=860 | /portraits/SlumberHall.jpg
- Eternal Valley | Capital City | Not Port | id=eternalvalley | x=1262, y=871 | /portraits/EternalValley.jpg
- Lakefall | Major City | Not Port | id=lakefall | x=1352, y=247 | /portraits/Lakefall.jpg
- Anchor Point | Major City | Port | id=anchorpoint | x=1510, y=349 | /portraits/AnchorPoint.jpg
- Last Refuge | Major City | Not Port | id=lastrefuge | x=1312, y=160 | /portraits/LastRefuge.jpg
- Urdred's Shadow | Major City | Not Port | id=urdred'sshadow | x=1184, y=237 | /portraits/Urdred'sShadow.jpg
- Bayview Castle | Major City | Not Port | id=bayviewcastle | x=705, y=558 | /portraits/UnderConstruction.jpg
- Constantine | Major City | Not Port | id=constantine | x=922, y=142 | /portraits/UnderConstruction.jpg
- Southport | Major City | Port | id=southport | x=521, y=440 | /portraits/UnderConstruction.jpg
- Zugmurah | Major City | Not Port | id=zugmurah | x=1325, y=519 | /portraits/UnderConstruction.jpg
